case,purpose,status,metric,unit,expected,measured,error,limit,passed,error_message
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,Upp,mV,250.0,250.0,0.0,5.0,True,
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,Urms,mV,89.78698277449303,89.8,0.01301722550697093,5.0,True,
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,H1_frequency,Hz,10000.0,10000.0,0.0,1000.0,True,
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,H1_peak,mV,110.83545780074331,110.8,-0.03545780074331617,5.0,True,
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,H3_frequency,Hz,30000.0,30000.0,0.0,1000.0,True,
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,H3_peak,mV,55.41772890037166,55.4,-0.017728900371658085,5.0,True,
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,H5_frequency,Hz,50000.0,50000.0,0.0,1000.0,True,
T01_low_10k_descending,10 kHz低端，三分量递减幅值,PASS,H5_peak,mV,27.70886445018583,27.7,-0.008864450185829043,5.0,True,
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,Upp,mV,250.0,250.0,0.0,5.0,True,
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,Urms,mV,61.2471088449864,61.3,0.05289115501359731,5.0,True,
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,H1_frequency,Hz,10000.0,10000.0,0.0,1000.0,True,
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,H1_peak,mV,50.00805496363969,50.0,-0.008054963639686719,5.0,True,
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,H2_frequency,Hz,20000.0,20000.0,0.0,1000.0,True,
T02_low_10k_equal,10 kHz低端，连续三次等幅分量,PASS,H2_peak,mV,50.00805496363969,50.0,-0.008054963639686719,5.0,True,
