stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
diagnostic_sine_250,2026-07-31T18:55:14.994,10000,1,125.000000,250.000000,88.388348,8854,10000,0,7664,61.535789,-63.464211,2.031338225,63.000000,-62.000000,125.900000,-124.100000,44.500000,-43.888348,1,0,3052,3210,0
diagnostic_sine_250,2026-07-31T18:55:14.994,10000,2,125.000000,250.000000,88.388348,8856,10000,0,7653,61.447468,-63.552532,2.034257959,62.700000,-62.300000,125.400000,-124.600000,44.400000,-43.988348,1,0,3054,3210,0
diagnostic_sine_250,2026-07-31T18:55:14.994,10000,3,125.000000,250.000000,88.388348,8858,10000,0,7650,61.423380,-63.576620,2.035055707,62.900000,-62.100000,125.800000,-124.200000,44.500000,-43.888348,1,0,3053,3210,0
diagnostic_sine_250,2026-07-31T18:55:16.299,60000,1,125.000000,250.000000,88.388348,8872,60001,1,7609,61.094183,-63.905817,2.046021311,62.900000,-62.100000,125.800000,-124.200000,44.500000,-43.888348,1,0,3053,3210,0
diagnostic_sine_250,2026-07-31T18:55:16.299,60000,2,125.000000,250.000000,88.388348,8874,60001,1,7608,61.086154,-63.913846,2.046290241,62.900000,-62.100000,125.800000,-124.200000,44.500000,-43.888348,1,0,3054,3210,0
diagnostic_sine_250,2026-07-31T18:55:16.299,60000,3,125.000000,250.000000,88.388348,8876,60001,1,7611,61.110241,-63.889759,2.045483663,62.900000,-62.100000,125.800000,-124.200000,44.500000,-43.888348,1,0,3054,3210,0
diagnostic_sine_250,2026-07-31T18:55:17.736,100000,1,125.000000,250.000000,88.388348,8892,100001,1,7527,60.435788,-64.564212,2.068310902,62.800000,-62.200000,125.600000,-124.400000,44.400000,-43.988348,1,0,3055,3209,0
diagnostic_sine_250,2026-07-31T18:55:17.736,100000,2,125.000000,250.000000,88.388348,8894,100001,1,7535,60.500022,-64.499978,2.066114951,62.800000,-62.200000,125.600000,-124.400000,44.400000,-43.988348,1,0,3055,3209,0
diagnostic_sine_250,2026-07-31T18:55:17.736,100000,3,125.000000,250.000000,88.388348,8896,100001,1,7530,60.459876,-64.540124,2.067486873,62.800000,-62.200000,125.600000,-124.400000,44.400000,-43.988348,1,0,3054,3209,0
diagnostic_sine_250,2026-07-31T18:55:19.174,250000,1,125.000000,250.000000,88.388348,8912,250003,3,6946,55.770823,-69.229177,2.241315312,61.900000,-63.100000,123.900000,-126.100000,43.800000,-44.588348,1,0,3059,3203,0
diagnostic_sine_250,2026-07-31T18:55:19.174,250000,2,125.000000,250.000000,88.388348,8914,250003,3,6944,55.754765,-69.245235,2.241960852,62.000000,-63.000000,124.000000,-126.000000,43.800000,-44.588348,1,0,3060,3203,0
diagnostic_sine_250,2026-07-31T18:55:19.174,250000,3,125.000000,250.000000,88.388348,8916,250003,3,6968,55.947466,-69.052534,2.234238829,62.000000,-63.000000,124.100000,-125.900000,43.900000,-44.488348,1,0,3060,3202,0
diagnostic_sine_250,2026-07-31T18:55:20.610,500000,1,125.000000,250.000000,88.388348,8932,500000,0,5491,44.088337,-80.911663,2.835216929,60.200000,-64.800000,120.400000,-129.600000,42.600000,-45.788348,1,0,3074,3188,0
diagnostic_sine_250,2026-07-31T18:55:20.610,500000,2,125.000000,250.000000,88.388348,8934,500000,0,5499,44.152571,-80.847429,2.831092227,60.200000,-64.800000,120.400000,-129.600000,42.600000,-45.788348,1,0,3074,3188,0
diagnostic_sine_250,2026-07-31T18:55:20.610,500000,3,125.000000,250.000000,88.388348,8936,500000,0,5487,44.056220,-80.943780,2.837283790,60.200000,-64.800000,120.400000,-129.600000,42.600000,-45.788348,1,0,3075,3187,0
