stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
recalibration_nodes,2026-07-31T18:55:48.602,10000,1,125.000000,250.000000,88.388348,9322,10000,0,7662,61.519730,-63.480270,2.031868462,63.000000,-62.000000,125.900000,-124.100000,44.500000,-43.888348,1,0,3053,3210,0
recalibration_nodes,2026-07-31T18:55:48.602,10000,2,125.000000,250.000000,88.388348,9324,10000,0,7659,61.495643,-63.504357,2.032664337,63.000000,-62.000000,125.900000,-124.100000,44.500000,-43.888348,1,0,3053,3211,0
recalibration_nodes,2026-07-31T18:55:48.602,10000,3,125.000000,250.000000,88.388348,9326,10001,1,7660,61.503672,-63.496328,2.032398976,63.000000,-62.000000,126.000000,-124.000000,44.500000,-43.888348,1,0,3052,3210,0
recalibration_nodes,2026-07-31T18:55:49.907,52000,1,125.000000,250.000000,88.388348,9340,52001,1,7625,61.222650,-63.777350,2.041728021,62.900000,-62.100000,125.800000,-124.200000,44.500000,-43.888348,1,0,3053,3210,0
recalibration_nodes,2026-07-31T18:55:49.907,52000,2,125.000000,250.000000,88.388348,9342,52001,1,7620,61.182504,-63.817496,2.043067737,62.900000,-62.100000,125.800000,-124.200000,44.500000,-43.888348,1,0,3053,3210,0
recalibration_nodes,2026-07-31T18:55:49.907,52000,3,125.000000,250.000000,88.388348,9344,52000,0,7625,61.222650,-63.777350,2.041728021,62.900000,-62.100000,125.800000,-124.200000,44.500000,-43.888348,1,0,3053,3210,0
recalibration_nodes,2026-07-31T18:55:51.344,110500,1,125.000000,250.000000,88.388348,9360,110502,2,7507,60.275204,-64.724796,2.073821254,62.800000,-62.200000,125.500000,-124.500000,44.400000,-43.988348,1,0,3054,3208,0
recalibration_nodes,2026-07-31T18:55:51.344,110500,2,125.000000,250.000000,88.388348,9362,110501,1,7505,60.259146,-64.740854,2.074373905,62.700000,-62.300000,125.500000,-124.500000,44.400000,-43.988348,1,0,3055,3209,0
recalibration_nodes,2026-07-31T18:55:51.344,110500,3,125.000000,250.000000,88.388348,9364,110501,1,7508,60.283234,-64.716766,2.073545040,62.700000,-62.300000,125.500000,-124.500000,44.400000,-43.988348,1,0,3055,3208,0
recalibration_nodes,2026-07-31T18:55:52.780,180000,1,125.000000,250.000000,88.388348,9380,180002,2,7279,58.444547,-66.555453,2.138779524,62.500000,-62.500000,125.000000,-125.000000,44.200000,-44.188348,1,0,3057,3206,0
recalibration_nodes,2026-07-31T18:55:52.780,180000,2,125.000000,250.000000,88.388348,9382,180002,2,7274,58.404401,-66.595599,2.140249678,62.500000,-62.500000,125.000000,-125.000000,44.200000,-44.188348,1,0,3057,3206,0
recalibration_nodes,2026-07-31T18:55:52.780,180000,3,125.000000,250.000000,88.388348,9384,180002,2,7273,58.396372,-66.603628,2.140543951,62.500000,-62.500000,124.900000,-125.100000,44.200000,-44.188348,1,0,3056,3206,0
recalibration_nodes,2026-07-31T18:55:54.217,236000,1,125.000000,250.000000,88.388348,9400,236003,3,7030,56.445276,-68.554724,2.214534304,62.200000,-62.800000,124.300000,-125.700000,44.000000,-44.388348,1,0,3059,3204,0
recalibration_nodes,2026-07-31T18:55:54.217,236000,2,125.000000,250.000000,88.388348,9402,236003,3,7030,56.445276,-68.554724,2.214534304,62.100000,-62.900000,124.300000,-125.700000,43.900000,-44.488348,1,0,3059,3204,0
recalibration_nodes,2026-07-31T18:55:54.217,236000,3,125.000000,250.000000,88.388348,9404,236003,3,7029,56.437247,-68.562753,2.214849361,62.100000,-62.900000,124.300000,-125.700000,43.900000,-44.488348,1,0,3059,3204,0
recalibration_nodes,2026-07-31T18:55:55.655,294000,1,125.000000,250.000000,88.388348,9420,294003,3,6730,54.036516,-70.963484,2.313250543,61.700000,-63.300000,123.500000,-126.500000,43.600000,-44.788348,1,0,3062,3201,0
recalibration_nodes,2026-07-31T18:55:55.655,294000,2,125.000000,250.000000,88.388348,9422,294003,3,6730,54.036516,-70.963484,2.313250543,61.700000,-63.300000,123.400000,-126.600000,43.600000,-44.788348,1,0,3062,3201,0
recalibration_nodes,2026-07-31T18:55:55.656,294000,3,125.000000,250.000000,88.388348,9424,294003,3,6729,54.028487,-70.971513,2.313594317,61.700000,-63.300000,123.500000,-126.500000,43.600000,-44.788348,1,0,3062,3201,0
