stage,timestamp,target_frequency_hz,repeat,expected_peak_mv,expected_vpp_mv,expected_rms_mv,seq,raw_frequency_hz,frequency_error_hz,raw_peak_code_x100,raw_peak_mv,raw_peak_error_mv,required_correction_gain,firmware_peak_mv,firmware_peak_error_mv,firmware_vpp_mv,firmware_vpp_error_mv,firmware_rms_mv,firmware_rms_error_mv,peak_count,signal_valid,adc_min,adc_max,adc_overrun
before,2026-07-31T14:12:48.479,10000,1,100.000000,200.000000,70.710678,33380,10000,0,12163,97.659160,-2.340840,1.023969492,99.100000,-0.900000,198.200000,-1.800000,70.100000,-0.610678,1,0,2997,3244,0
before,2026-07-31T14:12:48.479,10000,2,100.000000,200.000000,70.710678,33383,10001,1,12155,97.594926,-2.405074,1.024643433,99.100000,-0.900000,198.100000,-1.900000,70.000000,-0.710678,1,0,2997,3244,0
before,2026-07-31T14:12:48.479,10000,3,100.000000,200.000000,70.710678,33385,10000,0,12156,97.602955,-2.397045,1.024559142,99.100000,-0.900000,198.100000,-1.900000,70.000000,-0.710678,1,0,2995,3243,0
before,2026-07-31T14:12:48.782,10500,1,100.000000,200.000000,70.710678,33388,10500,0,12169,97.707335,-2.292665,1.023464617,99.100000,-0.900000,198.200000,-1.800000,70.100000,-0.610678,1,0,2996,3244,0
before,2026-07-31T14:12:48.782,10500,2,100.000000,200.000000,70.710678,33390,10501,1,12180,97.795656,-2.204344,1.022540306,99.100000,-0.900000,198.200000,-1.800000,70.100000,-0.610678,1,0,2995,3243,0
before,2026-07-31T14:12:48.782,10500,3,100.000000,200.000000,70.710678,33393,10500,0,12162,97.651130,-2.348870,1.024053686,99.100000,-0.900000,198.200000,-1.800000,70.100000,-0.610678,1,0,2995,3243,0
before,2026-07-31T14:12:49.087,11000,1,100.000000,200.000000,70.710678,33395,11000,0,12173,97.739452,-2.260548,1.023128311,99.100000,-0.900000,198.200000,-1.800000,70.100000,-0.610678,1,0,2996,3243,0
before,2026-07-31T14:12:49.087,11000,2,100.000000,200.000000,70.710678,33398,11000,0,12175,97.755510,-2.244490,1.022960240,99.100000,-0.900000,198.300000,-1.700000,70.100000,-0.610678,1,0,2995,3244,0
before,2026-07-31T14:12:49.087,11000,3,100.000000,200.000000,70.710678,33400,11001,1,12170,97.715364,-2.284636,1.023380520,99.100000,-0.900000,198.200000,-1.800000,70.100000,-0.610678,1,0,2995,3243,0
before,2026-07-31T14:12:49.396,11500,1,100.000000,200.000000,70.710678,33403,11500,0,12176,97.763539,-2.236461,1.022876226,99.100000,-0.900000,198.300000,-1.700000,70.100000,-0.610678,1,0,2996,3244,0
before,2026-07-31T14:12:49.396,11500,2,100.000000,200.000000,70.710678,33405,11500,0,12174,97.747481,-2.252519,1.023044269,99.100000,-0.900000,198.300000,-1.700000,70.100000,-0.610678,1,0,2996,3243,0
before,2026-07-31T14:12:49.396,11500,3,100.000000,200.000000,70.710678,33408,11500,0,12166,97.683247,-2.316753,1.023716992,99.200000,-0.800000,198.300000,-1.700000,70.100000,-0.610678,1,0,2995,3243,0
before,2026-07-31T14:12:49.697,12000,1,100.000000,200.000000,70.710678,33410,12000,0,12177,97.771568,-2.228432,1.022792225,99.200000,-0.800000,198.400000,-1.600000,70.100000,-0.610678,1,0,2995,3243,0
before,2026-07-31T14:12:49.697,12000,2,100.000000,200.000000,70.710678,33413,12000,0,12171,97.723393,-2.276607,1.023296436,99.200000,-0.800000,198.300000,-1.700000,70.100000,-0.610678,1,0,2995,3244,0
before,2026-07-31T14:12:49.697,12000,3,100.000000,200.000000,70.710678,33415,12000,0,12173,97.739452,-2.260548,1.023128311,99.100000,-0.900000,198.300000,-1.700000,70.100000,-0.610678,1,0,2995,3243,0
before,2026-07-31T14:13:05.476,12500,1,100.000000,200.000000,70.710678,33798,12500,0,12170,97.715364,-2.284636,1.023380520,99.200000,-0.800000,198.300000,-1.700000,70.100000,-0.610678,1,0,2997,3244,0
