frequency_hz,after_raw_peak_mean_mv,after_raw_peak_std_mv,after_required_gain,after_measured_peak_mean_mv,after_measured_peak_error_mv,after_measured_vpp_mean_mv,after_measured_vpp_error_mv,after_measured_rms_mean_mv,after_measured_rms_error_mv,after_frequency_error_mean_hz,after_frequency_error_max_abs_hz,after_adc_overrun_max,before_raw_peak_mean_mv,before_raw_peak_std_mv,before_required_gain,before_measured_peak_mean_mv,before_measured_peak_error_mv,before_measured_vpp_mean_mv,before_measured_vpp_error_mv,before_measured_rms_mean_mv,before_measured_rms_error_mv,before_frequency_error_mean_hz,before_frequency_error_max_abs_hz,before_adc_overrun_max
10000,97.73945166666665,0.13930114274596744,1.0231283099586315,100.06666666666666,0.06666666666666288,200.1,0.09999999999999432,70.76666666666667,0.05598854801192488,0.0,0.0,0,97.61901366666666,0.034998746696609004,1.0243906001904868,99.09999999999998,-0.9000000000000199,198.13333333333333,-1.8666666666666742,70.03333333333333,-0.6773447853214094,0.3333333333333333,1.0,0
10500,97.71536400000001,0.044704567898590494,1.0233805197716912,99.96666666666665,-0.03333333333334565,199.9333333333333,-0.0666666666666913,70.7,-0.010678118654738,0.0,0.0,0,97.71804033333332,0.07285529692708141,1.0233524910946077,99.09999999999998,-0.9000000000000199,198.19999999999996,-1.8000000000000398,70.1,-0.6106781186547465,0.3333333333333333,1.0,0
11000,97.75818633333334,0.012264500084937357,1.022932234636827,100.0,0.0,200.1,0.09999999999999432,70.7,-0.010678118654738,0.0,0.0,0,97.73677533333334,0.02020640337451183,1.0231563263566645,99.09999999999998,-0.9000000000000199,198.23333333333335,-1.7666666666666515,70.1,-0.6106781186547465,0.3333333333333333,1.0,0
11500,97.72071666666666,0.0046355453113279006,1.023324463952799,100.0,0.0,200.0,0.0,70.7,-0.010678118654738,0.3333333333333333,1.0,0,97.73142233333333,0.04248660844705445,1.0232123672459121,99.13333333333333,-0.8666666666666742,198.30000000000004,-1.6999999999999602,70.1,-0.6106781186547465,0.0,0.0,0
12000,97.73409866666667,0.02581019431025786,1.0231843477787772,100.03333333333335,0.03333333333334565,200.03333333333333,0.03333333333333144,70.7,-0.010678118654738,0.3333333333333333,1.0,0,97.74480433333333,0.024529436608559836,1.0230722817652373,99.16666666666667,-0.8333333333333286,198.33333333333334,-1.6666666666666572,70.1,-0.6106781186547465,0.0,0.0,0
12500,97.72071666666666,0.012264500084931155,1.023324463952799,100.0,0.0,200.0666666666667,0.0666666666666913,70.7,-0.010678118654738,0.0,0.0,0,97.71804033333332,0.036205764214190854,1.0233524910946077,99.2,-0.7999999999999972,198.30000000000004,-1.6999999999999602,70.1,-0.6106781186547465,0.0,0.0,0
13000,97.72339299999999,0.028949941917035617,1.023296438346139,100.0,0.0,200.03333333333333,0.03333333333333144,70.7,-0.010678118654738,0.0,0.0,0,97.70465866666666,0.0404127405199556,1.0234926498352983,99.2,-0.7999999999999972,198.36666666666667,-1.6333333333333258,70.1,-0.6106781186547465,0.0,0.0,0
13500,97.73677500000001,0.02452954571532071,1.0231563298461608,100.09999999999998,0.0999999999999801,200.1,0.09999999999999432,70.76666666666667,0.05598854801192488,0.0,0.0,0,97.734099,0.023178303906882622,1.02318434428909,99.2,-0.7999999999999972,198.36666666666667,-1.6333333333333258,70.1,-0.6106781186547465,0.0,0.0,0
14000,97.71804033333332,0.04120260231263639,1.0233524910946077,100.0,0.0,200.0,0.0,70.7,-0.010678118654738,0.0,0.0,0,97.701982,0.02020633714952115,1.023520689682631,99.2,-0.7999999999999972,198.4,-1.5999999999999943,70.1,-0.6106781186547465,0.0,0.0,0
14500,97.72339333333333,0.028949525891337913,1.0232964348556868,100.0,0.0,200.0666666666667,0.0666666666666913,70.7,-0.010678118654738,0.0,0.0,0,97.71001133333334,0.009271090622639392,1.0234365817321878,99.2,-0.7999999999999972,198.4,-1.5999999999999943,70.1,-0.6106781186547465,0.0,0.0,0
15000,97.72606966666666,0.012265045631117508,1.023268410784241,100.03333333333335,0.03333333333334565,200.1,0.09999999999999432,70.7,-0.010678118654738,0.0,0.0,0,97.71001100000001,0.016714256758825683,1.0234365852235958,99.2,-0.7999999999999972,198.4,-1.5999999999999943,70.1,-0.6106781186547465,0.0,0.0,0
15500,97.67789433333333,0.0362057642141835,1.023773093006513,100.0,0.0,200.0666666666667,0.0666666666666913,70.7,-0.010678118654738,0.0,0.0,0,97.69662933333332,0.012265045631119059,1.0235767670019378,99.2,-0.7999999999999972,198.4,-1.5999999999999943,70.16666666666667,-0.5440114519880694,0.0,0.0,0
16000,97.68592333333333,0.009271090622647598,1.023688947063236,100.0,0.0,200.0,0.0,70.7,-0.010678118654738,0.0,0.0,0,97.6886,0.05224142831125824,1.0236608979962862,99.2,-0.7999999999999972,198.4,-1.5999999999999943,70.2,-0.510678118654738,0.0,0.0,0
16500,97.70465833333333,0.016714096635274574,1.023492653327089,100.0,0.0,200.1,0.09999999999999432,70.7,-0.010678118654738,0.0,0.0,0,97.69395266666668,0.012265045631117508,1.0236048114585106,99.2,-0.7999999999999972,198.46666666666667,-1.5333333333333314,70.2,-0.510678118654738,0.0,0.0,0
17000,97.69662899999999,0.02452954571532071,1.0235767704943024,100.03333333333335,0.03333333333334565,200.1,0.09999999999999432,70.73333333333333,0.02265521467859344,0.0,0.0,0,97.69930566666666,0.016058500002594435,1.0235487275742052,99.2,-0.7999999999999972,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
17500,97.68324733333333,0.02124330422352991,1.0237169906807153,100.0,0.0,200.0666666666667,0.0666666666666913,70.7,-0.010678118654738,0.0,0.0,0,97.69395266666668,0.03620528372120758,1.0236048114585106,99.2,-0.7999999999999972,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
18000,97.67521833333335,0.021243304223532596,1.0238011412345447,100.0,0.0,200.1,0.09999999999999432,70.7,-0.010678118654738,0.0,0.0,0,97.67254133333334,0.02020640337451183,1.0238292014817512,99.2,-0.7999999999999972,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
18500,97.65915933333333,0.02124330422352454,1.0239694943377182,100.0,0.0,200.03333333333333,0.03333333333333144,70.7,-0.010678118654738,0.0,0.0,0,97.67789433333333,0.004635545311319696,1.023773093006513,99.26666666666667,-0.7333333333333343,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
19000,97.65113033333334,0.013907213284235026,1.0240536864104774,100.0,0.0,200.0,0.0,70.7,-0.010678118654738,0.0,0.0,0,97.66718866666668,0.01390721328424323,1.0238853126129708,99.3,-0.7000000000000028,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
19500,97.656483,0.02452954571532071,1.0239975568237494,100.0,0.0,200.03333333333333,0.03333333333333144,70.7,-0.010678118654738,0.0,0.0,0,97.68057066666665,0.012264500084937357,1.0237450428217538,99.3,-0.7000000000000028,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
20000,97.68592366666667,0.01671409663528254,1.0236889435701058,100.03333333333335,0.03333333333334565,200.1,0.09999999999999432,70.73333333333333,0.02265521467859344,0.0,0.0,0,97.63774866666667,0.02020640337450524,1.024194037302089,99.3,-0.7000000000000028,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
20500,97.64042466666666,0.01854218124528699,1.0241659675425283,100.0,0.0,200.0,0.0,70.7,-0.010678118654738,0.0,0.0,0,97.66183633333333,0.004635545311319696,1.0239414264000342,99.3,-0.7000000000000028,198.5,-1.5,70.2,-0.510678118654738,0.0,0.0,0
