"question","case_id","expression","fundamental_hz","signal_vpp_mv","jammer_frequency_hz","jammer_vpp_mv","expected_upp_mv","measured_upp_mv","expected_rms_mv","measured_rms_mv","expected_component_count","measured_component_count","signal_valid","response_s","response_note","stable_frame_count","adc_overrun_max","source_pass","source_file","component_start_index","component_end_index"
"第一题","Q1-01","1:1.00,2:0.55","10000","100",,,"100","102.6","30.049468802803109","30.9","2","2","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-01.json","1","2"
"第一题","Q1-02","1:0.55,3:1.00,7:0.70","25000","150",,,"150","151.7","45.805508537938358","46.3","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-02.json","3","5"
"第一题","Q1-03","1:1.00,3:0.40,5:0.70","40000","200",,,"200","202.1","64.925047135023959","65.6","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-03.json","6","8"
"第一题","Q1-04","1:0.60,2:1.00,4:0.45","50000","250",,,"250","252.4","70.13189081626588","70.8","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-04.json","9","11"
"第一题","Q1-05","1:1.00,2:0.65","100000","120",,,"120","122.4","35.32349585443351","36","2","2","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-05.json","12","13"
"第一题","Q1-06","1:1.00,4:0.50","20000","180",,,"180","182.2","49.683959600003853","50.3","2","2","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-06.json","14","15"
"第一题","Q1-07","1:0.75,2:1.00,3:0.45","60000","220",,,"220","222","55.542663213717077","56.1","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-07.json","16","18"
"第一题","Q1-08","1:1.00,3:0.80","65000","130",,,"130","131.3","43.635321906327505","44","2","2","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-08.json","19","20"
"第一题","Q1-09","1:0.80,2:0.50,4:1.00","45000","175",,,"175","176.8","49.487160526431971","50","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-09.json","21","23"
"第一题","Q1-10","1:1.00,2:0.35,5:0.60","35000","230",,,"230","232.7","61.294102437522305","62","3","3","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q1-10.json","24","26"
"第二题","Q2-01","1:1.00,50:0.70","10000","50",,,"50","51.3","12.696829850657624","13","2","2","1",,"固定等待1.5 s后采集到5帧稳定结果，未单独计量最早收敛时间","5","0","True","Q2-01.json","27","28"
