"question","case_id","order","expected_frequency_hz","measured_frequency_hz","expected_peak_mv","measured_peak_mv"
"第一题","Q1-01","1","10000","10000","37.235992233190593","38.2"
"第一题","Q1-01","2","20000","20000","20.479795728254828","21"
"第一题","Q1-02","1","25000","25000","26.611283043546692","27"
"第一题","Q1-02","3","75000","75001","48.384150988266711","48.8"
"第一题","Q1-02","7","175000","175002","33.868905691786694","34.3"
"第一题","Q1-03","1","40000","40000","71.480124344782411","72.3"
"第一题","Q1-03","3","120000","120001","28.592049737912969","28.9"
"第一题","Q1-03","5","200000","200002","50.036087041347685","50.6"
"第一题","Q1-04","1","50000","50001","47.607106150671505","48"
"第一题","Q1-04","2","100000","100001","79.345176917785849","80.1"
"第一题","Q1-04","4","200000","200002","35.705329613003634","36.1"
"第一题","Q1-05","1","100000","100001","41.884423106329052","42.7"
"第一题","Q1-05","2","200000","200002","27.224875019113885","27.8"
"第一题","Q1-06","1","20000","20000","62.845790204720188","63.8"
"第一题","Q1-06","4","80000","80001","31.422895102360098","31.7"
"第一题","Q1-07","1","60000","60001","44.343565099255038","44.7"
"第一题","Q1-07","2","120000","120001","59.124753465673386","59.7"
"第一题","Q1-07","3","180000","180002","26.606139059553023","26.9"
"第一题","Q1-08","1","65000","65001","48.187151888829277","48.6"
"第一题","Q1-08","3","195000","195002","38.549721511063431","39"
"第一题","Q1-09","1","45000","45000","40.725518129814681","41.1"
"第一题","Q1-09","2","90000","90001","25.453448831134175","25.7"
"第一题","Q1-09","4","180000","180002","50.906897662268349","51.5"
"第一题","Q1-10","1","35000","35000","71.19284305334952","72.1"
"第一题","Q1-10","2","70000","70001","24.917495068672331","25.1"
"第一题","Q1-10","5","175000","175002","42.715705832009711","43.2"
"第二题","Q2-01","1","10000","10002","14.710152101219329","15.1"
"第二题","Q2-01","50","500000","500000","10.29710647085353","10.5"
"第二题","Q2-02","1","20000","20000","13.188857735458894","13.5"
"第二题","Q2-02","12","240000","240003","23.979741337197989","24.5"
"第二题","Q2-02","25","500000","500000","15.586831869178694","16"
"第二题","Q2-03","1","50000","50000","15.82669125833295","16.1"
"第二题","Q2-03","5","250000","250003","31.6533825166659","32.4"
"第二题","Q2-03","10","500000","500000","22.15736776166613","22.8"
"第二题","Q2-04","1","80000","80001","24.070795880812767","24.2"
"第二题","Q2-04","3","240000","240003","53.490657512917259","54"
"第二题","Q2-04","6","480000","480005","32.094394507750351","32.7"
"第二题","Q2-05","1","100000","100001","31.442001499786684","31.7"
"第二题","Q2-05","3","300000","300003","78.6050037494667","79.5"
"第二题","Q2-05","5","500000","500000","43.232752062206693","44"
"第二题","Q2-06","1","70000","70001","34.379623088394474","35"
"第二题","Q2-06","7","490000","490005","18.908792698616963","19.5"
"第二题","Q2-07","1","120000","120001","34.9539747394986","35.2"
"第二题","Q2-07","2","240000","240003","24.673393933763716","24.9"
"第二题","Q2-07","4","480000","480005","41.122323222939528","41.9"
"第二题","Q2-08","1","250000","250003","76.103978169963312","76.8"
"第二题","Q2-08","2","500000","500000","53.272784718974314","54.1"
"第二题","Q2-09","1","160000","160002","28.978072426782234","29.2"
"第二题","Q2-09","2","320000","320003","48.296787377970389","49"
"第二题","Q2-09","3","480000","480005","38.637429902376311","39.3"
"第二题","Q2-10","1","62500","62501","26.453002820797632","26.9"
"第二题","Q2-10","3","187500","187502","10.581201128319051","10.8"
"第二题","Q2-10","8","500000","500000","19.839752115598223","20.4"
"第三题","Q3-01","1","10000","10001","14.710152101219329","15"
"第三题","Q3-01","50","500000","500000","10.29710647085353","10.4"
"第三题","Q3-02","1","12500","12500","55.487214000880947","56.3"
"第三题","Q3-02","7","87500","87501","30.517967700484519","30.8"
"第三题","Q3-02","40","500000","500000","44.389771200704757","45"
"第三题","Q3-03","1","20000","20000","27.777777777777779","28.1"
"第三题","Q3-03","25","500000","500000","22.222222222222225","22.6"
"第三题","Q3-04","1","25000","25000","55.245329352831547","55.9"
"第三题","Q3-04","6","150000","150002","35.909464079340509","36.2"
"第三题","Q3-04","19","475000","475005","24.860398208774196","25.3"
"第三题","Q3-05","1","40000","40000","51.325484303829157","51.8"
"第三题","Q3-05","3","120000","120001","33.361564797488953","33.6"
"第三题","Q3-05","9","360000","360004","43.626661658254783","44.5"
"第三题","Q3-06","1","50000","50001","34.514120971586394","34.8"
"第三题","Q3-06","4","200000","200002","17.257060485793197","17.4"
"第三题","Q3-06","10","500000","500000","27.611296777269121","28.1"
"第三题","Q3-07","1","62500","62501","10.956123493658316","11"
"第三题","Q3-07","2","125000","125001","7.1214802708779059","7.2"
"第三题","Q3-07","8","500000","500000","9.3127049696095678","9.4"
"第三题","Q3-08","1","80000","80001","74.975923535218428","75.3"
"第三题","Q3-08","6","480000","480005","52.4831464746529","53.4"
"第三题","Q3-09","1","100000","100001","56.818368491113254","57.2"
"第三题","Q3-09","3","300000","300003","31.250102670112291","31.6"
"第三题","Q3-09","5","500000","500000","42.613776368334939","43.3"
"第三题","Q3-10","1","125000","125001","14.45740220837293","14.5"
"第三题","Q3-10","4","500000","500000","11.565921766698343","11.7"
